,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
83,cell_34,cell_83,35.391748693493014,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,4.3104882189885894e-17,0.0,4.222092315070006e-17,0.0,1.7638026072709101e-19,2.1741301764070083e-20,0.0,0.0,1.8014224283627317e-22,0.0,0.0,7.368598104334762e-20,0.0,0.0,1.7392230318005003e-21,2.0374899023863882e-19,0.0,4.0648314013804227e-19,3.5664787052161215,-37.682895407330925
119,cell_48,cell_85,135.6988663631974,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,2.5481588054951633e-17,0.0,2.3824773831120023e-17,0.0,5.342772329332582e-19,6.940898074428158e-21,1.3866383930807195e-23,0.0,0.0,0.0,3.265980708142747e-23,3.722005268320939e-20,0.0,0.0,3.0861079150129327e-19,6.523397381956648e-19,8.447368076148486e-20,3.290530349125511e-20,4.910438212813279,-38.20857551958346
132,cell_53,cell_83,76.41223412876141,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,1.5456103669841244e-17,0.0,1.460268152117546e-17,0.0,9.548057103241808e-22,4.976916881490296e-21,0.0,0.0,5.211686729466043e-25,0.0,0.0,1.264128709871175e-19,0.0,0.0,7.845301086885324e-20,6.098785041280115e-19,8.131874119958475e-21,2.4613644801357994e-20,4.336142815928033,-38.70852768902789
133,cell_53,cell_89,227.7120451174497,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,9.733841130118124e-18,0.0,9.431084490345154e-18,0.0,9.240371873662853e-22,2.4328944307764873e-21,0.0,0.0,1.2438874065745634e-22,0.0,0.0,3.089920250387257e-20,0.0,0.0,4.006465972100993e-21,2.585758886711348e-19,4.657934620671647e-22,5.3279688049953294e-21,5.428081870737121,-39.170923083745
163,cell_67,cell_69,237.2363047882486,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,8.818168623344144e-18,0.0,8.613522648774768e-18,0.0,7.377373052618984e-20,5.774447857470903e-26,1.982850544752441e-24,0.0,3.0438934262145046e-23,0.0,4.786213416341574e-25,5.4118671056594384e-20,0.0,0.0,4.2930001082589634e-20,3.704588914405401e-21,2.5258586752296328e-20,4.827438086675784e-21,5.469056711011456,-39.26971746451073
164,cell_67,cell_81,259.13884929126846,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,4.1073762065463725e-17,0.0,4.012417084457816e-17,0.0,3.4796819862995375e-19,1.094955147145351e-22,2.4116620537659517e-21,0.0,9.536884282125806e-25,0.0,1.7050367124457284e-23,1.9217426525811323e-19,0.0,0.0,2.3176005574644483e-19,3.373599701196382e-20,1.4094835586061108e-19,4.651867544486289e-22,5.557364015700216,-37.73116214881773
165,cell_67,cell_93,265.5018174411419,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,1.3032607268984057e-17,0.0,1.2726368437663012e-17,0.0,1.1221692789073377e-19,3.548361417081808e-23,7.766729478208331e-22,0.0,3.0913097974564573e-25,0.0,5.526750497849983e-24,6.211200090071744e-20,0.0,0.0,7.468121394839757e-20,1.0734509598305462e-20,4.552540194304401e-20,1.50784596377977e-22,5.581621686011264,-38.87907720538347
168,cell_69,cell_71,234.80229250981088,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,2.3930037995641264e-17,0.0,2.2640565166253172e-17,0.0,3.010545280502255e-19,1.977693598503931e-26,1.6500970498088499e-24,0.0,2.040775214255943e-20,0.0,3.8375184608402357e-26,3.5898562010023765e-19,0.0,0.0,2.1015318730237944e-19,2.959276155861861e-19,6.525938038169155e-20,3.768303757563929e-20,5.458743851576681,-38.271397184191045
169,cell_69,cell_93,205.4773648747842,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,1.098941456245184e-17,0.0,1.032571672296267e-17,0.0,1.3534319036016815e-19,3.517943817843005e-24,1.870903474361519e-22,0.0,6.030662782302134e-23,0.0,1.2827495859584157e-25,1.2113469897396298e-19,0.0,0.0,1.0813025661681165e-19,2.6404771651036434e-19,3.4448652749237224e-20,3.4228108459036585e-22,5.325335881274984,-39.04959917691877
170,cell_69,cell_100,287.43259353534336,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,6.382148720069531e-18,0.0,6.241056103650996e-18,0.0,4.22071541611402e-20,1.9456518104319566e-24,1.4457295310245082e-22,0.0,5.427373111739329e-21,0.0,1.9075318451301915e-26,1.8415643275790385e-20,0.0,0.0,2.3669259306433982e-21,6.539108149625133e-20,1.3132611162000363e-21,5.82463964653878e-21,5.660988375479632,-39.59302684325759
