,contractility
cell_0,0.02837856213705717
cell_1,0.012491082059588819
cell_2,0.006817053866427657
cell_3,0.023702321468389603
cell_4,0.02228131091297091
cell_5,0.03787280234455287
cell_6,0.023702321468389603
cell_7,0.026560664880928075
cell_8,0.02399165750574096
cell_9,0.01966349372455438
cell_10,0.010207553472747675
cell_11,0.03823355515843133
cell_12,0.022013102348234604
cell_13,0.028931108106593655
cell_14,0.030396642745780286
cell_15,0.028896395942363436
cell_16,0.022013102348234604
cell_17,0.027862958473523526
cell_18,0.012897093812147252
cell_19,0.04471933071693872
cell_20,0.03772623593025434
cell_21,0.027862958473523526
cell_22,0.028423285090552027
cell_23,0.03823355515843133
cell_24,0.02412844993420236
cell_25,0.01900400020826222
cell_26,0.01966349372455438
cell_27,0.07202286668265806
cell_28,0.0553096697795272
cell_29,0.04250174234493233
cell_30,0.011345310082680308
cell_31,0.04250174234493233
cell_32,0.03025979484393802
cell_33,0.027969509174490922
cell_34,0.0299731273494079
cell_35,0.02465843037887794
cell_36,0.026915008988888836
cell_37,0.01739416154154899
cell_38,0.01634557103509414
cell_39,0.020539780274850226
cell_40,0.04250174234493233
cell_41,0.020716930185631196
cell_42,0.03483370095609617
cell_43,0.013312599209505378
cell_44,0.018803306417862237
cell_45,0.04011130962567133
cell_46,0.037391676692809454
cell_47,0.016176455309577977
cell_48,0.018380886842426645
cell_49,0.026832602283348314
cell_50,0.018803306417862237
cell_51,0.02862811918276386
cell_52,0.04011130962567133
cell_53,0.018480407769455493
cell_54,0.01721821810445935
cell_55,0.04011130962567133
cell_56,0.026770922645243677
cell_57,0.012532429411918516
cell_58,0.006632128819752362
cell_59,0.011262211093192507
cell_60,0.027637715418944275
cell_61,0.023104731984710015
cell_62,0.040835532850344
cell_63,0.009487050915663531
cell_64,0.013312599209505378
cell_65,0.015215066722168042
cell_66,0.05349252121540871
cell_67,0.01898576316474203
cell_68,0.019214182340676476
cell_69,0.05414984531935657
cell_70,0.019950389263355843
cell_71,0.05414984531935657
cell_72,0.06479989582973968
cell_73,0.047127479326920095
cell_74,0.024065178597209854
cell_75,0.02752334942282933
cell_76,0.01869036771417805
cell_77,0.056648348589933895
cell_78,0.008265925486533498
cell_79,0.023248271952630756
cell_80,0.012953635271215111
cell_81,0.039634524340199984
cell_82,0.02752334942282933
cell_83,0.025537522340212296
cell_84,0.0379161312693872
cell_85,0.046884031805177494
cell_86,0.015213096719487852
cell_87,0.008265925486533498
cell_88,0.025343933993674572
cell_89,0.04655855491933318
cell_90,0.04701896344467441
cell_91,0.012953635271215111
cell_92,0.04533746581108067
cell_93,0.039634524340199984
cell_94,0.06546554985792884
cell_95,0.017087184038829167
cell_96,0.03786065738321538
cell_97,0.033640369187870486
cell_98,0.01893945219266112
cell_99,0.018578652989950654
cell_100,0.04655855491933318
cell_101,0.018545036048732068
cell_102,0.018578652989950654
cell_103,0.049826714750103994
cell_104,0.04616410603880343
cell_105,0.023461541871945494
cell_106,0.015370939874030628
cell_107,0.024065178597209854
cell_108,0.01893945219266112
cell_109,0.024065178597209854
cell_110,0.01969272727791423
cell_111,0.026425017374834478
cell_112,0.004606130596914035
cell_113,0.025369734459933374
cell_114,0.031942801794719776
cell_115,0.02063558117066297
cell_116,0.039634524340199984
cell_117,0.03855795569307099
cell_118,0.04655855491933318
cell_119,0.02256566084513157
cell_120,0.045116168055958424
cell_121,0.038376180294691406
cell_122,0.014450260621922586
cell_123,0.014394321707777416
cell_124,0.023461541871945494
cell_125,0.039634524340199984
cell_126,0.04223723638902713
cell_127,0.03349510172791303
cell_128,0.024557704183363442
cell_129,0.03855795569307099
cell_130,0.02434478228489728
cell_131,0.039791524253068825
cell_132,0.014450260621922586
cell_133,0.018108165055513086
cell_134,0.035754546739645995
cell_135,0.025412252407923525
cell_136,0.03652740229836094
cell_137,0.04616410603880343
cell_138,0.023989749825730808
cell_139,0.027316729965616213
cell_140,0.01848005030506989
cell_141,0.04134136643580185
cell_142,0.02835472217089309
cell_143,0.033292266370686184
cell_144,0.01673810984067592
cell_145,0.02835472217089309
cell_146,0.02434478228489728
cell_147,0.013691369862594314
cell_148,0.02283297172844797
cell_149,0.018108165055513086
cell_150,0.04159411745919497
cell_151,0.01970885567081006
cell_152,0.02165474405627229
cell_153,0.013691369862594314
cell_154,0.0420835655078454
cell_155,0.04725262248675554
cell_156,0.03294607492346237
cell_157,0.01850271434942205
cell_158,0.020508573204659562
cell_159,0.035754546739645995
cell_160,0.040820474952149334
cell_161,0.02210309844448687
cell_162,0.04462213100398852
cell_163,0.028564415744984594
cell_164,0.018300551530453003
cell_165,0.012608518789040627
cell_166,0.040820474952149334
cell_167,0.03673721184143375
cell_168,0.028769704776789307
cell_169,0.015309978847902967
cell_170,0.035352626157709656
cell_171,0.010602213163879154
cell_172,0.03168798020855303
cell_173,0.017823558313692946
cell_174,0.01927660358052497
cell_175,0.02544850534604876
cell_176,0.012975471219648696
cell_177,0.022082874616830943
cell_178,0.012134739072816775
cell_179,0.01850271434942205
cell_180,0.0334755138436312
cell_181,0.020956405628960065
cell_182,0.05794482017250365
cell_183,0.018450258570017173
cell_184,0.04754291258065159
cell_185,0.01927660358052497
cell_186,0.01996558876530424
cell_187,0.025080264542472086
cell_188,0.012975471219648696
cell_189,0.035352626157709656
cell_190,0.040820474952149334
cell_191,0.026004881012586887
cell_192,0.03388633377324138
cell_193,0.04634292504476275
cell_194,0.020501431783486707
cell_195,0.01896415674685481
cell_196,0.018414769750819775
cell_197,0.007927003142035597
cell_198,0.04600202229783547
cell_199,0.049773022988199876
cell_200,0.018534704707761404
cell_201,0.053687445683269656
cell_202,0.041229609049381694
cell_203,0.035352626157709656
cell_204,0.015799063918563103
cell_205,0.016895080466335838
cell_206,0.012134739072816775
cell_207,0.031776070670060594
cell_208,0.027550950521144958
cell_209,0.05477743837515815
cell_210,0.012608518789040627
cell_211,0.020432689131275043
cell_212,0.01916468824008663
cell_213,0.036208998172080696
cell_214,0.006330928658995179
cell_215,0.0353334070976873
cell_216,0.035352626157709656
cell_217,0.03885446887714685
cell_218,0.017275038663387608
cell_219,0.0069244655940246605
cell_220,0.02647541069905476
