,cell_1,cell_2,tension,type,distance_to_boundary
848,cell_505,cell_550,353.3398205229583,Midbrain_awayfrom_boundary,2
849,cell_506,cell_507,92.12509727464716,Midbrain_awayfrom_boundary,4
850,cell_506,cell_522,14.240353958862732,Midbrain_awayfrom_boundary,3
851,cell_506,cell_547,54.216832732702144,Midbrain_awayfrom_boundary,4
852,cell_506,cell_548,94.59753030977332,Midbrain_awayfrom_boundary,4
853,cell_507,cell_526,69.84188237981186,Midbrain_awayfrom_boundary,5
854,cell_507,cell_548,172.00907780468782,Midbrain_awayfrom_boundary,5
855,cell_507,cell_549,141.16914562846762,Midbrain_awayfrom_boundary,5
857,cell_510,cell_524,162.76376835261522,Hindbrain_awayfrom_boundary,4
858,cell_510,cell_544,7.508385317059373,Hindbrain_awayfrom_boundary,4
859,cell_510,cell_577,251.6217892717244,Hindbrain_awayfrom_boundary,4
861,cell_511,cell_540,114.52366143268604,Midbrain_awayfrom_boundary,1
868,cell_514,cell_538,37.95394288002947,Hindbrain_awayfrom_boundary,1
871,cell_516,cell_519,108.60403711594638,Hindbrain_awayfrom_boundary,3
872,cell_516,cell_546,46.46675908580712,Hindbrain_awayfrom_boundary,2
873,cell_516,cell_556,70.52613677019093,Hindbrain_awayfrom_boundary,3
876,cell_519,cell_529,147.4823705458141,Hindbrain_awayfrom_boundary,3
877,cell_519,cell_537,171.04577152677845,Hindbrain_awayfrom_boundary,3
878,cell_519,cell_556,131.39218534740226,Hindbrain_awayfrom_boundary,3
879,cell_519,cell_585,170.7388517579596,Hindbrain_awayfrom_boundary,3
880,cell_520,cell_524,137.7673742528315,Hindbrain_awayfrom_boundary,4
881,cell_520,cell_530,132.14117610401937,Hindbrain_awayfrom_boundary,4
882,cell_520,cell_559,238.06008589968687,Hindbrain_awayfrom_boundary,4
883,cell_520,cell_563,296.28401442560056,Hindbrain_awayfrom_boundary,4
884,cell_520,cell_564,284.0194647169905,Hindbrain_awayfrom_boundary,4
885,cell_521,cell_523,215.5602717607831,heterotypic,0
889,cell_522,cell_547,53.008291826023246,Midbrain_awayfrom_boundary,3
890,cell_522,cell_550,387.55667368346144,Midbrain_awayfrom_boundary,2
891,cell_522,cell_557,117.72350493408304,Midbrain_awayfrom_boundary,3
893,cell_524,cell_559,214.95455560334048,Hindbrain_awayfrom_boundary,4
894,cell_524,cell_577,254.60559028823124,Hindbrain_awayfrom_boundary,4
908,cell_529,cell_537,68.34369683906807,Hindbrain_awayfrom_boundary,4
909,cell_530,cell_537,144.34064262810185,Hindbrain_awayfrom_boundary,4
910,cell_530,cell_563,286.2383981762522,Hindbrain_awayfrom_boundary,4
920,cell_537,cell_563,212.23098468820584,Hindbrain_awayfrom_boundary,4
921,cell_537,cell_585,180.2471316236476,Hindbrain_awayfrom_boundary,4
922,cell_537,cell_590,181.3615499372903,Hindbrain_awayfrom_boundary,4
923,cell_538,cell_546,15.927870856758886,Hindbrain_awayfrom_boundary,2
924,cell_538,cell_574,78.65601667254707,Hindbrain_awayfrom_boundary,1
925,cell_539,cell_540,123.2993722684154,Midbrain_awayfrom_boundary,1
926,cell_539,cell_550,359.4993901828329,Midbrain_awayfrom_boundary,1
927,cell_539,cell_558,296.4206574772775,Midbrain_awayfrom_boundary,1
928,cell_539,cell_568,204.10819629171388,Midbrain_awayfrom_boundary,1
932,cell_544,cell_577,247.0092810619828,Hindbrain_awayfrom_boundary,5
937,cell_546,cell_556,70.8946921657967,Hindbrain_awayfrom_boundary,2
938,cell_546,cell_574,80.42487066848939,Hindbrain_awayfrom_boundary,1
939,cell_546,cell_584,84.24054399928984,Hindbrain_awayfrom_boundary,2
940,cell_546,cell_592,373.4725119189049,Hindbrain_awayfrom_boundary,2
941,cell_547,cell_548,56.61254693956713,Midbrain_awayfrom_boundary,4
942,cell_547,cell_557,125.20658906249987,Midbrain_awayfrom_boundary,3
943,cell_547,cell_583,165.42718967406944,Midbrain_awayfrom_boundary,4
944,cell_548,cell_549,109.68846920417836,Midbrain_awayfrom_boundary,5
945,cell_548,cell_583,201.56444143031976,Midbrain_awayfrom_boundary,4
946,cell_548,cell_587,179.37362639859978,Midbrain_awayfrom_boundary,5
948,cell_549,cell_587,158.36504537902124,Midbrain_awayfrom_boundary,5
950,cell_550,cell_557,355.717938013556,Midbrain_awayfrom_boundary,2
951,cell_550,cell_568,408.77351201019513,Midbrain_awayfrom_boundary,2
952,cell_550,cell_580,332.270475864749,Midbrain_awayfrom_boundary,2
955,cell_552,cell_574,44.741007402695125,Hindbrain_awayfrom_boundary,1
966,cell_556,cell_584,80.45968610154642,Hindbrain_awayfrom_boundary,3
967,cell_556,cell_585,129.49671676680506,Hindbrain_awayfrom_boundary,3
968,cell_557,cell_580,77.65754450927253,Midbrain_awayfrom_boundary,3
969,cell_557,cell_583,182.3944614608237,Midbrain_awayfrom_boundary,3
970,cell_557,cell_595,74.23844237683826,Midbrain_awayfrom_boundary,3
971,cell_558,cell_566,257.54399580126693,heterotypic,0
972,cell_558,cell_568,192.4343622245461,Midbrain_awayfrom_boundary,1
974,cell_558,cell_594,192.5799400077273,Midbrain_awayfrom_boundary,1
975,cell_559,cell_564,176.50982547530307,Hindbrain_awayfrom_boundary,5
976,cell_559,cell_577,301.2123308893649,Hindbrain_awayfrom_boundary,5
977,cell_559,cell_586,187.2229569542675,Hindbrain_awayfrom_boundary,5
984,cell_563,cell_564,104.07694357253963,Hindbrain_awayfrom_boundary,5
985,cell_563,cell_590,216.556009816926,Hindbrain_awayfrom_boundary,5
986,cell_564,cell_586,194.1699576606907,Hindbrain_awayfrom_boundary,5
989,cell_566,cell_593,241.0326894335309,heterotypic,0
994,cell_568,cell_580,99.25604386968052,Midbrain_awayfrom_boundary,2
995,cell_568,cell_594,0.4659855590957461,Midbrain_awayfrom_boundary,1
996,cell_568,cell_620,86.5590022919766,Midbrain_awayfrom_boundary,2
1008,cell_574,cell_592,359.1612206532029,Hindbrain_awayfrom_boundary,1
1010,cell_574,cell_623,164.336135351413,Hindbrain_awayfrom_boundary,1
1015,cell_577,cell_581,140.79607145502433,Hindbrain_awayfrom_boundary,5
1016,cell_577,cell_586,99.18734534085291,Hindbrain_awayfrom_boundary,5
1017,cell_577,cell_608,171.87136259202873,Hindbrain_awayfrom_boundary,5
1021,cell_580,cell_595,8.098344031942071,Midbrain_awayfrom_boundary,3
1022,cell_580,cell_620,53.00103409448619,Midbrain_awayfrom_boundary,2
1023,cell_580,cell_636,48.20021475389594,Midbrain_awayfrom_boundary,3
1029,cell_583,cell_587,173.85492887355207,Midbrain_awayfrom_boundary,4
1030,cell_583,cell_595,156.080750837196,Midbrain_awayfrom_boundary,4
1031,cell_583,cell_618,191.8315719388137,Midbrain_awayfrom_boundary,4
1032,cell_584,cell_585,110.936479286287,Hindbrain_awayfrom_boundary,3
1033,cell_584,cell_592,388.6248195068082,Hindbrain_awayfrom_boundary,2
1034,cell_585,cell_590,34.85131485666618,Hindbrain_awayfrom_boundary,4
1035,cell_585,cell_617,8.264098680602645,Hindbrain_awayfrom_boundary,4
1036,cell_587,cell_601,160.77268261776402,Midbrain_awayfrom_boundary,5
1037,cell_587,cell_612,107.1300209324464,Midbrain_awayfrom_boundary,5
1038,cell_587,cell_618,191.65665884089648,Midbrain_awayfrom_boundary,4
1044,cell_590,cell_617,27.98832937918331,Hindbrain_awayfrom_boundary,5
1048,cell_592,cell_623,422.7032186621996,Hindbrain_awayfrom_boundary,1
1049,cell_592,cell_631,421.7540184534095,Hindbrain_awayfrom_boundary,2
1051,cell_593,cell_599,88.85582069476771,heterotypic,0
1056,cell_594,cell_615,60.72372092778611,Midbrain_awayfrom_boundary,1
1057,cell_594,cell_620,86.62331556587786,Midbrain_awayfrom_boundary,1
1058,cell_595,cell_618,42.27640425697511,Midbrain_awayfrom_boundary,4
1059,cell_595,cell_636,53.398953284980585,Midbrain_awayfrom_boundary,3
1063,cell_599,cell_645,10.1488540478226,heterotypic,0
1067,cell_601,cell_612,180.9141229998507,Midbrain_awayfrom_boundary,5
1069,cell_601,cell_638,133.42828620981751,Midbrain_awayfrom_boundary,5
1076,cell_606,cell_645,26.659196376971646,heterotypic,0
1083,cell_612,cell_618,211.5006968195135,Midbrain_awayfrom_boundary,4
1084,cell_612,cell_638,280.96490728926744,Midbrain_awayfrom_boundary,5
1089,cell_615,cell_620,36.0058172811973,Midbrain_awayfrom_boundary,1
1090,cell_615,cell_626,0.8386323133289617,Midbrain_awayfrom_boundary,1
1096,cell_618,cell_636,59.06413073264489,Midbrain_awayfrom_boundary,3
1097,cell_618,cell_638,139.76092453114055,Midbrain_awayfrom_boundary,4
1098,cell_618,cell_670,123.40206506582204,Midbrain_awayfrom_boundary,4
1102,cell_620,cell_626,36.78604510647125,Midbrain_awayfrom_boundary,1
1103,cell_620,cell_636,87.1978382157553,Midbrain_awayfrom_boundary,2
1104,cell_620,cell_639,39.09838614868652,Midbrain_awayfrom_boundary,1
1105,cell_620,cell_664,72.43264044324637,Midbrain_awayfrom_boundary,2
1110,cell_623,cell_631,3.436517191149692,Hindbrain_awayfrom_boundary,1
1111,cell_624,cell_638,161.54911839392292,Midbrain_awayfrom_boundary,5
1116,cell_626,cell_639,2.5538369923508024,Midbrain_awayfrom_boundary,1
1117,cell_631,cell_649,47.54479193087872,Hindbrain_awayfrom_boundary,2
1128,cell_636,cell_664,98.72953289334046,Midbrain_awayfrom_boundary,3
1129,cell_636,cell_670,97.88506029494192,Midbrain_awayfrom_boundary,3
1133,cell_638,cell_657,63.03635253545831,Midbrain_awayfrom_boundary,5
1134,cell_638,cell_670,184.4548633058268,Midbrain_awayfrom_boundary,4
1135,cell_638,cell_686,295.845112481451,Midbrain_awayfrom_boundary,4
1136,cell_638,cell_690,147.30638630043342,Midbrain_awayfrom_boundary,5
1137,cell_638,cell_694,283.01423371974323,Midbrain_awayfrom_boundary,4
1149,cell_645,cell_710,121.42017936285256,heterotypic,0
1160,cell_657,cell_690,129.6884916197188,Midbrain_awayfrom_boundary,5
1165,cell_662,cell_690,156.3431450974548,Midbrain_awayfrom_boundary,5
1167,cell_664,cell_670,19.05951650824829,Midbrain_awayfrom_boundary,3
1168,cell_664,cell_686,244.7532239810096,Midbrain_awayfrom_boundary,3
1169,cell_664,cell_708,254.6018877968432,Midbrain_awayfrom_boundary,3
1180,cell_670,cell_686,235.01182082587783,Midbrain_awayfrom_boundary,4
1194,cell_686,cell_694,72.86809548802945,Midbrain_awayfrom_boundary,4
1195,cell_686,cell_708,189.36119719447143,Midbrain_awayfrom_boundary,4
1199,cell_690,cell_693,132.22315880930415,Midbrain_awayfrom_boundary,5
1200,cell_690,cell_694,177.24528570840462,Midbrain_awayfrom_boundary,4
1201,cell_690,cell_713,166.9989933147761,Midbrain_awayfrom_boundary,5
1202,cell_690,cell_719,103.99425115634642,Midbrain_awayfrom_boundary,5
1204,cell_693,cell_719,154.73295834344464,Midbrain_awayfrom_boundary,5
1207,cell_694,cell_708,202.4984706081212,Midbrain_awayfrom_boundary,4
1208,cell_694,cell_713,88.05143900952768,Midbrain_awayfrom_boundary,4
1209,cell_694,cell_729,235.1724551026257,Midbrain_awayfrom_boundary,3
1210,cell_694,cell_741,162.37729537446677,Midbrain_awayfrom_boundary,4
1221,cell_708,cell_729,100.4896679661518,Midbrain_awayfrom_boundary,3
1224,cell_713,cell_719,230.6108651339215,Midbrain_awayfrom_boundary,5
1225,cell_713,cell_741,144.26917743390393,Midbrain_awayfrom_boundary,4
1229,cell_719,cell_732,78.58820085779757,Midbrain_awayfrom_boundary,5
1230,cell_719,cell_741,179.57437642233677,Midbrain_awayfrom_boundary,4
1231,cell_719,cell_751,52.75128658942762,Midbrain_awayfrom_boundary,5
1244,cell_729,cell_741,181.44580540084232,Midbrain_awayfrom_boundary,3
1245,cell_732,cell_751,38.17243850888645,Midbrain_awayfrom_boundary,5
1251,cell_741,cell_751,167.04445909408713,Midbrain_awayfrom_boundary,4
1252,cell_741,cell_759,243.86408299630384,Midbrain_awayfrom_boundary,4
1256,cell_751,cell_762,125.98497667870552,Midbrain_awayfrom_boundary,5
1257,cell_751,cell_769,110.06388069162315,Midbrain_awayfrom_boundary,5
