Prkaa1
Ywhaq
Cdc42bpb
Rock2
Prkg1
Calm1
Calm2
Cnn3
Nuak1
Cdc42bpg
Mprip
Ywhah
Myh9
Prkaa2
Ywhaz
Gm49909
Cdc42bpa
Ywhae
Pawr
Camk1
Cald1
Nuak2
Pak4
Prkg2
Ddr1
Mark1
S100a4
Sfn
Myh14
Mylk
Cit
Rock1
Ppp1r14a
Calm3
Ilk
Pak3
Cnn1
Mybph
Pak1
Myl6
Dmpk
Myh10
Raf1
Ppp1r12a
Myl6b
Pak2
Ywhag
Cnn2
Src
Pak6
Dapk3
Ppp1cb
Ywhab
Myl9
Trpm7
