Fos
Cfl1
Pip5k1b
Rock2
Mapk12
Pten
Pard6a
Slc9a3
Diaph1
Pip5k1a
Pkn1
Vcl
Rdx
Cdc42
Srf
Ccn1
Ppp1r12a
F2rl2
Pkn2
Pld1
Acta1
Cdkn1b
Itgb1
Prkcz
Mapk8
Cit
Rock1
Mrtfa
Msn
Sh3gl2
Slc9a1
Rhoa
Jun
Map2k3
Map2k4
Ezr
Atf2
Map2k6
Pld2
Pip5k1c
Scai
Myl2
Limk1
Tln1
Limk2
