Ywhaq
Actn3
Tpm3-rs7
Cnn3
Calm2
Shroom4
Calm1
Arpc3
Gm49909
Llgl2
Actn1
Flna
Ywhae
Arpc5
Arpc1a
Ywhah
Cttn
Mprip
Myh9
Svil
Arpc1b
Was
Pls3
Ywhaz
Daam1
Lcp1
S100a4
Shroom3
Sfn
Shroom2
Tpm3
Tpm4
Vasp
Actr3b
Wdr1
Anln
Cald1
Iqgap1
Wasl
Actn4
Actn2
Pls1
Actg1
Myl6b
Llgl1
Myl6
Shroom1
Myh10
Cnn1
Mybph
Arpc4
Palld
Actr3
Calm3
Tpm1
Myh14
Dstn
Myl9
Ywhab
Fscn1
Actb
Fmn2
Actr2
Arpc5l
Fmn1
Cnn2
Alkbh4
Tpm2
Ywhag
Arpc2
