,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
23,cell_25,cell_35,107.59788770114956,Hindbrain_awayfrom_boundary,3,5.793911134950505e-18,0.0,5.329758703552655e-18,1.4801864582238975e-26,2.1750956491328223e-19,5.11940728399514e-21,0.0,0.0,1.1689682155602339e-20,0,2.5983262308675977e-21,2.2747906696652818e-20,0,0,1.2177978304747633e-20,5.991153814984847e-20,1.9578640542027638e-20,1.1281937231896087e-19,4.678401016504784,-39.68972411208984
24,cell_25,cell_52,128.53457647557167,Hindbrain_awayfrom_boundary,3,6.624273792467056e-18,0.0,6.138135443974366e-18,0.0,2.0340534633795763e-19,4.193053291792046e-21,0.0,0.0,1.1369523174699309e-20,0,0.0,2.5968803798336337e-20,0,0,1.626172989102102e-20,7.720742954743909e-20,2.321008481144994e-20,1.2452237763999466e-19,4.85619794577129,-39.55579092426022
25,cell_25,cell_64,103.119184445103,Hindbrain_awayfrom_boundary,3,1.3020006786246338e-18,0.0,1.205846390974802e-18,0.0,4.0230654282031405e-20,8.307306621016791e-22,0.0,0.0,2.251723295562284e-21,0,0.0,5.142296120735801e-21,0,0,3.2180460830236182e-21,1.524281479566628e-20,4.593415279545157e-21,2.4644607131165724e-20,4.6358854498050786,-41.182629608889506
29,cell_28,cell_34,0.4686745617610106,Midbrain_awayfrom_boundary,3,6.601883100206653e-17,2.2431773702667182e-21,6.447397662674602e-17,0.0,3.3173062457935765e-19,2.0125458232139822e-20,2.7538538357483354e-24,0.0,9.910672701293745e-20,0,0.0,8.69771175459356e-20,0,0,1.211895038616943e-19,8.76232724359644e-19,3.81715359419302e-22,6.864573145262477e-21,-0.7578466495587728,-37.25659165434877
30,cell_28,cell_60,140.1300407587312,Midbrain_awayfrom_boundary,2,4.034486244860732e-17,0.0,3.963813534674606e-17,0.0,1.1111895164131547e-19,1.179932374652708e-20,2.38661390727203e-24,0.0,1.2576523601073076e-20,0,0.0,5.858841607278764e-20,0,0,1.754306901961794e-19,2.415796689573977e-19,6.575805241139575e-20,2.987308862067242e-20,4.94257085404579,-37.74906761197709
31,cell_28,cell_94,123.82420534418172,Midbrain_awayfrom_boundary,2,1.9135334310344862e-17,2.162086748078017e-21,1.873287782222396e-17,0.0,8.318579132864468e-20,6.5341206540330404e-21,3.8998126629677445e-22,0.0,6.213906223352574e-22,0,0.0,1.6156557242396167e-20,0,0,9.106496090791808e-20,2.0209118559694352e-19,1.1881016138926952e-22,1.3160359286753547e-22,4.818862860881988,-38.49499508402354
32,cell_29,cell_54,15.724088907453051,heterotypic,0,1.9876329055685352e-17,1.9972865003410754e-23,1.8525979841040896e-17,0.0,6.655653643377144e-19,5.622785708749542e-23,7.014571903273745e-20,0.0,3.025613070616111e-23,0,3.109773968720733e-25,1.7745708820076631e-19,0,0,2.0895138062686345e-19,1.643772070924925e-19,3.209013707153552e-20,3.165555045215529e-20,2.7551938617952856,-38.45700214486187
34,cell_32,cell_42,189.1831801526779,Hindbrain_awayfrom_boundary,1,5.648762731267597e-17,1.5218010628988232e-23,5.499576824638531e-17,0.0,9.676827102993239e-19,1.6265253754454482e-22,4.0087539518972405e-22,0.0,5.714487334045176e-20,0,0.0,1.1456082861730535e-19,0,0,1.2925711429597873e-21,7.656053002641512e-21,5.649368206288659e-22,3.4237834712400767e-19,5.24271575283867,-37.41251004533763
35,cell_32,cell_64,130.09310912876836,Hindbrain_awayfrom_boundary,2,3.176277440545049e-17,2.1547687582750006e-23,3.077102168582553e-17,0.0,3.5234316402853533e-19,6.071189215544134e-21,0.0,0.0,2.5683480175214565e-20,0,0.0,4.708428553397048e-20,0,0,1.2554728159573387e-19,1.506543650382317e-21,8.901492033785252e-20,3.4448030740014397e-19,4.868250418156977,-37.9882366859938
36,cell_32,cell_72,166.03307141424884,Hindbrain_awayfrom_boundary,2,1.7494577535310795e-17,0.0,1.693108812443889e-17,0.0,3.1265426489862925e-19,7.032805579676061e-21,5.327474079943188e-23,0.0,6.124087435630788e-23,0,0.0,5.83673651630951e-20,0,0,1.2667993632940906e-19,1.6376226171778005e-21,4.2859604922000494e-20,1.4143295746763765e-20,5.112186993900842,-38.58464069610347
37,cell_32,cell_78,162.78387743561154,Hindbrain_awayfrom_boundary,2,9.093954239254592e-18,3.6651358723878375e-24,8.729827089961917e-18,3.2943904832941875e-24,1.739768481633376e-19,4.3362953958119554e-21,1.4490515785415151e-24,0.0,3.1542619490650264e-22,0,7.200847152566528e-23,3.2904944222415956e-20,0,0,8.685683581559474e-20,3.5539093749376834e-22,1.65881170574634e-20,4.8712874456192003e-20,5.092423415713564,-39.23892185047379
38,cell_34,cell_62,73.11325951002749,Midbrain_awayfrom_boundary,3,1.3178675650457265e-16,0.0,1.262673872691912e-16,1.096952116947338e-24,1.3632245130776142e-18,1.2132335295372776e-20,5.30245557008131e-23,0.0,1.3602615562939303e-19,0,0.0,1.572946783680136e-19,0,0,5.28600059281555e-21,3.841895461130866e-18,8.303055651718778e-24,3.4476667238915824e-21,4.292009738952868,-36.565346538628944
39,cell_34,cell_93,153.69525210705777,Midbrain_awayfrom_boundary,3,4.380855185559785e-17,2.990849763254934e-21,4.2910906010490243e-17,0.0,3.782518330242909e-19,1.539068898033161e-20,6.7107223111876765e-22,0.0,8.220966810600903e-20,0,0.0,1.5719812452261781e-19,0,0,1.7789274736236304e-19,8.158108052717064e-20,2.967697954092551e-24,1.4568128924822761e-21,5.034971759417182,-37.6667026277241
40,cell_34,cell_94,123.7910233128613,Midbrain_awayfrom_boundary,2,1.2477877642396279e-17,8.52471586907552e-22,1.2121270758170529e-17,0.0,1.0481563907556515e-19,2.5048681438757737e-21,2.733130521754237e-22,0.0,5.522001841601879e-22,0,0.0,1.6745850394556973e-20,0,0,3.633133917044267e-20,1.94527612082223e-19,4.230793085573782e-25,3.167456534590725e-24,4.818594848032383,-38.92257438611893
41,cell_35,cell_52,177.90459269334917,Hindbrain_awayfrom_boundary,4,1.565961935210802e-17,2.806363832620656e-21,1.4630887684047178e-17,0.0,3.104317738356809e-19,5.419896405406192e-21,0.0,0.0,1.8362863146531816e-20,0,0.0,5.721220288505986e-20,0,0,6.210839512495227e-20,2.614702367765048e-19,5.670047705795285e-20,2.5421945899613203e-19,5.181247410490044,-38.695446290642955
42,cell_35,cell_65,364.9301932783538,Hindbrain_awayfrom_boundary,4,4.492808414189974e-18,1.4268569060982604e-22,4.1774251223748836e-18,5.932222186183348e-27,1.7439295302752857e-19,1.3660652149377837e-21,0.0,0.0,1.6575173719846796e-22,0,0.0,9.150580036257443e-21,0,0,9.95550645927354e-21,4.8912898788419395e-20,3.8495635328522603e-23,7.12583492933139e-20,5.899706083999449,-39.94405368566878
