,cell_1,cell_2,length
161,cell_518,cell_535,151.92103211866353
162,cell_492,cell_518,176.96327302578916
163,cell_334,cell_350,220.68982758613956
164,cell_221,cell_298,139.97912560408224
165,cell_449,cell_476,43.9089968002003
166,cell_476,cell_492,8.246211251235321
167,cell_653,cell_678,119.36498649101419
168,cell_465,cell_476,85.44003745317531
169,cell_465,cell_492,117.64352935882194
170,cell_678,cell_703,62.12889826803627
171,cell_449,cell_465,75.1357342916647
172,cell_298,cell_334,32.55764119219941
173,cell_436,cell_449,82.68010643437755
174,cell_86,cell_95,101.9803902718557
175,cell_80,cell_86,147.5127113166862
176,cell_221,cell_239,72.14440903915413
177,cell_298,cell_319,76.15773105863909
178,cell_319,cell_334,185.52627846210896
179,cell_181,cell_239,92.45539465060976
180,cell_633,cell_653,93.23089616645332
181,cell_144,cell_186,111.08555261599052
182,cell_181,cell_186,193.13207915827965
183,cell_95,cell_129,14.142135623730951
184,cell_86,cell_129,173.17043627594174
185,cell_518,cell_542,141.53444810363305
186,cell_129,cell_144,135.91173606425605
187,cell_588,cell_633,123.48279232346505
188,cell_221,cell_270,125.68832892839715
189,cell_239,cell_270,139.6784983389669
190,cell_687,cell_703,163.87800340497196
191,cell_678,cell_687,64.03124237432849
192,cell_298,cell_304,124.12557952478123
193,cell_304,cell_319,159.24823389915505
194,cell_485,cell_492,38.47076812334269
195,cell_465,cell_485,143.4015341619468
196,cell_542,cell_588,6.324555320336759
197,cell_553,cell_588,81.33074516115761
198,cell_542,cell_553,272.8369476445593
199,cell_485,cell_518,27.85677655436824
200,cell_270,cell_298,5.965288835315683
201,cell_270,cell_304,34.334258198754576
202,cell_703,cell_716,34.058772731852805
203,cell_186,cell_239,93.03762679690406
204,cell_436,cell_439,111.31936040060597
205,cell_55,cell_80,52.952809179494906
206,cell_512,cell_518,134.937022347464
207,cell_485,cell_512,190.67249408344142
208,cell_588,cell_596,192.48921438673221
209,cell_553,cell_596,139.61974415088835
210,cell_456,cell_465,81.67076624894344
211,cell_641,cell_653,17.204650534085253
212,cell_55,cell_86,95.60334722173695
213,cell_633,cell_641,62.48199740725323
214,cell_687,cell_716,143.22011031974526
215,cell_439,cell_456,114.6298390472568
216,cell_270,cell_279,106.50821564555478
217,cell_279,cell_304,191.23012025115014
218,cell_512,cell_542,159.66214329013624
219,cell_144,cell_157,132.9661611087573
220,cell_157,cell_186,171.26587517658035
221,cell_129,cell_157,65.5133574166368
222,cell_588,cell_641,104.9952379872535
223,cell_456,cell_485,94.86832980505137
224,cell_210,cell_239,83.18653737234169
225,cell_186,cell_210,152.64337522473747
226,cell_239,cell_279,19.938221376510857
227,cell_672,cell_687,120.81390648431164
228,cell_239,cell_268,42.863201552919726
229,cell_268,cell_279,153.48727121005498
230,cell_319,cell_320,119.54915307102765
231,cell_304,cell_320,35.87175048966455
232,cell_55,cell_69,103.24727599312246
233,cell_117,cell_129,22.627416997969522
234,cell_69,cell_86,141.46629903648167
235,cell_86,cell_117,88.51174267533465
236,cell_319,cell_351,38.41874542459709
237,cell_33,cell_55,104.01922899156675
238,cell_129,cell_133,100.07996802557443
239,cell_133,cell_157,213.7755832643195
240,cell_117,cell_133,185.86378018491118
241,cell_210,cell_268,160.099968769516
242,cell_641,cell_672,16.97056274847714
243,cell_672,cell_716,62.12889826803627
244,cell_412,cell_439,92.19544457292888
245,cell_279,cell_320,77.51673444972774
246,cell_320,cell_351,102.17631819555841
247,cell_412,cell_456,11.313708498984761
248,cell_641,cell_648,98.18350166906862
249,cell_648,cell_672,68.87670143089025
250,cell_451,cell_456,123.62847568420473
251,cell_412,cell_451,142.12670403551894
252,cell_596,cell_641,4.0
253,cell_596,cell_619,134.5362404707371
254,cell_619,cell_641,52.3450093132096
255,cell_451,cell_485,111.68902855739981
256,cell_157,cell_210,24.08318915758459
257,cell_553,cell_571,112.44554237496477
258,cell_571,cell_596,116.27553482998907
259,cell_279,cell_301,96.33275663033837
260,cell_81,cell_86,41.91138650228809
261,cell_81,cell_117,212.79154220557905
262,cell_669,cell_672,162.4438364481706
263,cell_33,cell_69,28.635642126552707
264,cell_157,cell_202,61.05735008989499
265,cell_202,cell_210,275.98550686584974
266,cell_268,cell_301,120.16655108639841
267,cell_512,cell_513,114.15778554264269
268,cell_301,cell_320,104.01922899156675
269,cell_513,cell_542,43.266615305567875
270,cell_669,cell_716,6.0
271,cell_619,cell_648,72.02777242147643
272,cell_695,cell_716,153.81342494145957
273,cell_485,cell_513,28.635642126552707
274,cell_669,cell_695,137.7679207943562
275,cell_648,cell_669,108.46197490364999
276,cell_40,cell_69,116.36150566231085
277,cell_33,cell_40,190.4205871222962
278,cell_69,cell_81,179.4635049613063
279,cell_133,cell_202,106.6770828247567
280,cell_533,cell_542,8.0
281,cell_533,cell_553,81.60882305241266
282,cell_513,cell_533,99.35793878699377
283,cell_485,cell_502,55.569775957799216
284,cell_502,cell_513,113.22543883774529
285,cell_320,cell_335,110.05453193758083
286,cell_335,cell_351,161.4187101918486
287,cell_466,cell_485,48.17945989874045
288,cell_533,cell_571,53.14153316353717
289,cell_451,cell_466,231.5351090719199
290,cell_571,cell_619,99.29753269845128
291,cell_634,cell_648,76.94153624668537
292,cell_619,cell_634,94.847245611035
293,cell_301,cell_306,181.57092278225608
294,cell_306,cell_320,6.0
295,cell_306,cell_335,174.63103962354458
296,cell_466,cell_502,194.50449866262733
297,cell_202,cell_268,88.29496021857646
298,cell_412,cell_428,170.46993869888027
299,cell_428,cell_451,136.19104228986575
300,cell_533,cell_551,155.2178472462011
301,cell_551,cell_571,176.5887603553936
302,cell_502,cell_533,134.5362404707371
303,cell_133,cell_143,200.8417447983586
304,cell_117,cell_143,96.84449077169347
305,cell_202,cell_301,53.85164807134504
306,cell_668,cell_669,126.26955294131677
307,cell_695,cell_709,142.61837188805654
308,cell_668,cell_695,77.82030583337487
309,cell_634,cell_669,62.289646009589745
310,cell_40,cell_81,140.18559127100045
311,cell_133,cell_191,51.92301994298868
312,cell_191,cell_202,164.730082255792
313,cell_17,cell_40,200.6888138387389
314,cell_143,cell_191,162.50538452617502
315,cell_709,cell_720,193.03885619221847
316,cell_668,cell_709,82.21921916437786
317,cell_408,cell_412,58.034472514187634
318,cell_408,cell_428,123.36936410632909
319,cell_290,cell_301,22.80350850198276
320,cell_202,cell_290,123.54756169184401
321,cell_290,cell_306,206.4654934849889
322,cell_720,cell_727,224.51071319083488
323,cell_571,cell_610,94.76286192385707
324,cell_634,cell_668,31.622776601683793
325,cell_202,cell_234,203.06649157357302
326,cell_81,cell_90,199.52944644838766
327,cell_90,cell_117,83.18653737234169
328,cell_90,cell_143,145.24462124292245
329,cell_634,cell_642,39.293765408777
330,cell_642,cell_668,44.04543109109048
331,cell_191,cell_234,145.38225476308997
332,cell_428,cell_466,10.0
333,cell_727,cell_733,204.35263639111682
334,cell_668,cell_675,96.02083107326243
335,cell_428,cell_447,97.65244492586962
336,cell_447,cell_466,141.4496376806954
337,cell_668,cell_691,34.52535300326414
338,cell_691,cell_709,41.23105625617661
339,cell_675,cell_691,60.166435825965294
340,cell_642,cell_675,27.05275171034024
